producto,cantidad vendida,precio,fecha de venta
Cemento,45,12500,2026/01
Ladrillo,12,48000,2026/01
Arena,3,22000,2026/02
Hierro,25,14500,2026/02
Cemento,30,12500,2026/02
Cal,8,10500,2026/03
Chapa,15,35000,2026/03
Arena,2,22000,2026/04
Ladrillo,5,48000,2026/04
Piedra,10,26000,2026/05
Hierro,4,14500,2026/05
Madera,14,24500,2026/06
Cemento,6,12500,2026/06
Cal,20,10500,2026/07
Pintura,18,78000,2026/07
Tanque,12,54000,2026/08
Ladrillo,40,48000,2026/08
Madera,7,24500,2026/09
Arena,50,22000,2026/09
Pintura,9,78000,2026/10
